,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
6824,4,FLORAL PARK,14 RENTALS - 4-10 UNIT,2A,8790,29,,S3,260-14 HILLSIDE AVENUE,,11004,3,1,4,"1,975","2,679",1961,2,S3,0,8/3/2022,40.7371846,-73.7076741
6825,4,FLORAL PARK,22 STORE BUILDINGS,4,8789,39,,K4,259-20 HILLSIDE AVENUE,,11004,1,3,4,"3,999","2,530",1951,4,K4,0,8/10/2022,40.7370327,-73.7084001
6826,4,FLORAL PARK,22 STORE BUILDINGS,4,8790,31,,K5,260-10 HILLSIDE AVENUE,,11004,0,1,1,"6,880","3,060",2004,4,K5,4708500,3/24/2022,40.7370669,-73.7078154
6827,4,FLORAL PARK,22 STORE BUILDINGS,4,8790,34,,K1,260-04 HILLSIDE AVENUE,,11004,0,2,2,"9,120","3,410",2004,4,K1,4708500,3/24/2022,40.7370317,-73.7079887
6829,4,FLUSHING MEADOW PARK,03 THREE FAMILY DWELLINGS,1,2012,16,,C0,56-10 111 STREET,,11368,3,0,3,"1,869","2,635",1950,1,C0,1572000,5/11/2022,40.7410847,-73.8507162
6855,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4695,27,,A2,24-18 MURRAY STREET,,11357,1,0,1,"5,500","2,562",1950,1,A2,1450000,4/27/2022,40.7764917,-73.8129674
6861,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4714,76,,A2,151-11 25 AVENUE,,11357,1,0,1,"3,999","1,144",1955,1,A2,950000,10/7/2022,40.7757769,-73.8122004
6867,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4775,25,,A2,29-04 PARSONS BOULEVARD,,11354,1,0,1,"4,277","1,875",1955,1,A2,800000,10/4/2022,40.7722041,-73.8249767
6869,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4777,20,,A1,142-22 32 AVENUE,,11354,1,0,1,"7,500","1,344",1901,1,A1,0,4/13/2022,40.7687935,-73.8257041
6876,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4798,21,,A1,146-12 BAYSIDE AVENUE,,11354,1,0,1,"7,499","3,300",2011,1,A1,0,8/4/2022,40.7706064,-73.8212479
6881,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4801,65,,A2,148-06 WILLETS POINT BLVD,,11357,1,0,1,"4,358","1,794",1955,1,A2,1325000,11/18/2022,40.7763386,-73.8184704
6896,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4822,37,,A0,28-20 MURRAY STREET,,11354,1,0,1,"3,999","3,272",1945,1,A0,998000,7/18/2022,40.7722109,-73.8135499
6897,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4823,53,,A2,150-19 BAYSIDE AVENUE,,11354,1,0,1,"3,559","1,012",1960,1,A2,0,1/9/2023,40.7717467,-73.8150351
6904,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4832,1,,A2,26-17 MURRAY STREET,,11354,1,0,1,"4,500","1,144",1950,1,A2,0,2/9/2022,40.7735929,-73.8127517
6905,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4832,103,,A1,26-11 MURRAY STREET,,11354,1,0,1,"4,999","2,538",1950,1,A1,1500000,8/25/2022,40.7737219,-73.8127333
6912,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4837,37,,A1,152-14 BAYSIDE AVENUE,,11354,1,0,1,"3,589","1,056",1920,1,A1,1100000,5/24/2022,40.7713593,-73.8114222
6916,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4838,32,,S1,153-02 BAYSIDE AVENUE,,11354,1,1,2,"4,320","2,350",1940,1,S1,0,2/16/2022,40.7713694,-73.8108698
6920,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4843,17,,A2,154-22 WILLETS POINT BLVD,,11357,1,0,1,"5,279","1,144",1960,1,A2,1220000,10/25/2022,40.7780457,-73.8082186
6935,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4853,39,,A3,154-16 BAYSIDE AVENUE,,11354,1,0,1,"4,177","1,271",1910,1,A3,960000,5/16/2022,40.7713479,-73.8094727
6936,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4855,22,,A1,154-14 32 AVENUE,,11354,1,0,1,"5,200","1,942",1920,1,A1,1320000,12/27/2022,40.7696493,-73.8097158
6974,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4884,3,,A1,25-15 160 STREET,,11358,1,0,1,"3,456","2,420",1955,1,A1,0,2/21/2022,40.7744232,-73.8036546
6989,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4892,59,,A1,29-42 162 STREET,,11358,1,0,1,"4,999","2,096",1925,1,A1,0,9/9/2022,40.7699289,-73.8029747
6994,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4895,34,,A1,32-16 162 STREET,,11358,1,0,1,"8,000","2,152",1915,1,A1,1425000,10/14/2022,40.7688861,-73.8031149
7037,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4937,17,,A0,32-28 UTOPIA PARKWAY,,11358,1,0,1,"2,800","1,131",1950,1,A0,0,3/22/2022,40.76802,-73.7928899
7040,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4960,58,,A1,136-24 CARLTON STREET,,11354,1,0,1,"1,449",864,1925,1,A1,621133,1/18/2023,40.7643086,-73.8294161
7041,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4982,16,,A1,33-03 PARSONS BOULEVARD,,11354,1,0,1,"6,000","2,604",1930,1,A1,1480000,3/29/2022,40.7680276,-73.8238614
7055,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5001,21,,A1,34-08 MURRAY LANE,,11354,1,0,1,"3,601","1,658",1940,1,A1,0,11/22/2022,40.7670562,-73.8134921
7056,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5033,1,,A5,150-41 ROOSEVELT AVENUE,,11354,1,0,1,"3,812","2,634",1960,1,A5,1340000,9/9/2022,40.7643106,-73.812998
7057,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5034,41,,S1,40-26 MURRAY STREET,,11354,1,1,2,"1,206","1,920",1930,1,S1,950000,7/21/2022,40.7633195,-73.81286
7058,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5062,12,,A1,41-12 HAIGHT STREET,,11355,1,0,1,"1,600","1,000",1920,1,A1,800000,11/9/2022,40.7554205,-73.8345967
7059,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5066,702,,S1,44-24 COLLEGE POINT BLVD,,11355,1,1,2,"1,820","3,200",1901,1,S1,1289000,2/28/2022,40.7527858,-73.8328744
7060,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5102,49,,A2,132-29 POPLE AVENUE,,11355,1,0,1,"3,000",600,1920,1,A2,2415000,5/6/2022,40.7535799,-73.8316416
7061,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5102,50,,A2,132-27 POPLE AVENUE,,11355,1,0,1,"3,000",684,1920,1,A2,2415000,5/6/2022,40.7535444,-73.8317392
7062,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5104,31,,A5,132-70 POPLE AVENUE,,11355,1,0,1,"1,739","1,456",1960,1,A5,1500000,8/4/2022,40.7537288,-73.8301867
7066,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5140,27,,A5,43-38 BYRD STREET,,11355,1,0,1,"1,280","1,120",1965,1,A5,0,8/4/2022,40.7517456,-73.8255394
7067,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5149,58,,A2,137-23 KALMIA AVENUE,,11355,1,0,1,"7,499","1,493",1920,1,A2,1800000,7/15/2022,40.7489567,-73.8200139
7068,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5149,58,,A2,137-23 KALMIA AVENUE,,11355,1,0,1,"7,499","1,493",1920,1,A2,1920000,11/4/2022,40.7489567,-73.8200139
7069,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5149,73,,A5,47-35 COLDEN STREET,,11355,1,0,1,"3,256","1,156",1965,1,A5,0,10/25/2022,40.7486282,-73.8205959
7070,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5149,74,,A5,47-31 COLDEN STREET,,11355,1,0,1,"3,534","1,860",1965,1,A5,0,11/1/2022,40.7486695,-73.820668
7071,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5152,13,,A0,137-18 MULBERRY AVENUE,,11355,1,0,1,"3,800","1,660",1950,1,A0,0,9/2/2022,40.7478941,-73.8180246
7078,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5177,147,,A5,151-04 PECK AVENUE,,11355,1,0,1,"1,975","1,429",1955,1,A5,865000,5/18/2022,40.7458654,-73.8161282
7079,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5178,147,,A5,152-04 PECK AVENUE,,11355,1,0,1,"1,975","1,429",1955,1,A5,970000,6/16/2022,40.7456664,-73.8152266
7080,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5195,46,,A1,43-28 SMART STREET,,11355,1,0,1,"2,541","1,322",1920,1,A1,10,12/5/2022,40.7552271,-73.8191488
7081,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5203,54,,A1,45-15 BOWNE STREET,,11355,1,0,1,"3,325","1,910",1925,1,A1,0,4/3/2022,40.7535725,-73.8177564
7083,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5204,32,,A5,144-11 HOLLY AVENUE,,11355,1,0,1,"2,499","1,224",1960,1,A5,0,7/13/2022,40.7531,-73.8157473
7084,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5205,14,,A1,146-30 45 AVENUE,,11355,1,0,1,"4,000","1,920",1925,1,A1,1130000,5/23/2022,40.7551342,-73.8159583
7085,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5205,40,,A1,146-21 GEORGIA ROAD,,11355,1,0,1,"4,999","1,608",1920,1,A1,1230000,12/21/2022,40.75475,-73.8159918
7086,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5207,48,,A5,146-09 HOLLY AVENUE,,11355,1,0,1,"2,241","1,274",1925,1,A5,968000,10/25/2022,40.7535244,-73.8150893
7087,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5209,4,,A5,141-10 HOLLY AVENUE,,11355,1,0,1,"2,742","1,224",1960,1,A5,1080000,7/18/2022,40.7513846,-73.8175098
7088,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5209,34,,A5,46-35 UNION STREET,,11355,1,0,1,"2,499","1,156",1960,1,A5,955000,10/6/2022,40.7506617,-73.8168729
7089,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5211,35,,A2,46-43 BOWNE STREET,,11355,1,0,1,"2,374",944,1920,1,A2,818000,6/30/2022,40.7514003,-73.8153153
7090,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5212,21,,A2,46-42 BURLING STREET,,11355,1,0,1,"2,500","1,224",1950,1,A2,800000,4/4/2022,40.7520796,-73.8144219
7091,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5212,134,,A5,144-03 LABURNUM AVENUE,,11355,1,0,1,"2,576","2,103",1950,1,A5,0,3/12/2022,40.7514509,-73.8143623
7093,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5213,41,,A5,146-17 JASMINE AVENUE,,11355,1,0,1,"2,000","1,520",1925,1,A5,0,6/23/2022,40.7531196,-73.8142891
7095,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5219,27,,A1,47-17 BOWNE STREET,,11355,1,0,1,"2,374","1,600",1965,1,A1,0,1/9/2023,40.7505699,-73.8143792
7096,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5221,38,,A5,47-07 BURLING STREET,,11355,1,0,1,"1,695","1,292",1965,1,A5,995000,7/29/2022,40.7514846,-73.8131134
7097,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5222,39,,A1,140-19 OAK AVENUE,,11355,1,0,1,"2,835","1,104",1925,1,A1,0,8/9/2022,40.748332,-73.8155043
7098,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5225,7,,A1,142-14 OAK AVENUE,,11355,1,0,1,"3,000","1,840",1925,1,A1,1050000,11/29/2022,40.7490066,-73.8134597
7099,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5226,28,,A1,143-29 OAK AVENUE,,11355,1,0,1,"3,800","1,408",1925,1,A1,92812,8/2/2022,40.7500812,-73.8125941
7100,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5231,11,,A1,51-20 BOWNE STREET,,11355,1,0,1,"6,000","1,918",1930,1,A1,1350000,4/1/2022,40.7482942,-73.8125449
7103,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5237,14,,A1,34-21 MURRAY STREET,,11354,1,0,1,"3,535","1,472",1935,1,A1,920000,7/25/2022,40.7666485,-73.8126232
7149,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5257,32,,A1,33-52 UTOPIA PARKWAY,,11358,1,0,1,"4,000","1,456",1940,1,A1,860000,3/10/2022,40.7656299,-73.7932078
7155,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5266,33,,A1,152-13 ROOSEVELT AVENUE,,11354,1,0,1,"3,200","2,164",1920,1,A1,0,11/14/2022,40.7643065,-73.8121858
7157,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5267,15,,A1,152-36 ROOSEVELT AVENUE,,11354,1,0,1,"3,609","1,954",1925,1,A1,0,11/14/2022,40.7637894,-73.8114797
7177,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5296,4,,S1,169-08 CROCHERON AVENUE,,11358,1,1,2,"2,079","2,430",1920,1,S1,650000,8/3/2022,40.7625484,-73.7967226
7182,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5300,36,,A1,35-20 UTOPIA PARKWAY,,11358,1,0,1,"3,600","2,247",1935,1,A1,1160000,7/1/2022,40.7640055,-73.7934548
7183,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5302,107,,A1,171-18 CROCHERON AVENUE,,11358,1,0,1,"4,920","2,252",1935,1,A1,1290000,1/11/2023,40.7627202,-73.7945597
7185,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5307,12,,A5,189-09 37 AVENUE,,11358,1,0,1,"2,499","1,292",1950,1,A5,0,12/9/2022,40.7625387,-73.7928348
7188,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5324,71,,A5,190-10 39 AVENUE,,11358,1,0,1,"1,808","1,683",1940,1,A5,602000,7/7/2022,40.7615643,-73.7913001
7191,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5325,141,,A5,196-01 STATION ROAD,,11358,1,0,1,"1,512",960,1940,1,A5,10,11/10/2022,40.7615848,-73.7860333
7192,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5325,160,,A5,194-23 STATION ROAD,,11358,1,0,1,"1,512",960,1940,1,A5,615000,3/24/2022,40.7614828,-73.7872754
7193,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5325,165,,A5,194-13 STATION ROAD,,11358,1,0,1,"1,701","1,224",1940,1,A5,749000,2/4/2022,40.7614587,-73.7875823
7194,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5325,168,,A5,194-07 STATION ROAD,,11358,1,0,1,"1,512",960,1940,1,A5,0,11/28/2022,40.7614453,-73.7877628
7204,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5354,125,,A5,189-14 STATION ROAD,,11358,1,0,1,"2,325","1,332",1960,1,A5,0,3/29/2022,40.7606789,-73.791967
7219,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5382,2,,A5,149-36 SANFORD AVENUE,,11355,1,0,1,"1,882","1,296",1970,1,A5,0,11/25/2022,40.7605267,-73.813662
7220,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5382,8,,A5,149-50 SANFORD AVENUE,,11355,1,0,1,"3,418","1,720",1970,1,A5,0,10/13/2022,40.7605835,-73.8131312
7221,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5383,13,,A1,149-62 ASH AVENUE,,11355,1,0,1,"2,810","1,358",1930,1,A1,988000,1/9/2023,40.7598412,-73.8123969
7228,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5405,25,,A5,147-41 ELM AVENUE,,11355,1,0,1,"2,499","1,268",1986,1,A5,1275000,6/23/2022,40.7567588,-73.8140949
7229,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5406,16,,A1,147-42 ELM AVENUE,,11355,1,0,1,"3,999","2,106",1920,1,A1,1298000,8/26/2022,40.7563305,-73.813977
7232,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5408,21,,A5,149-54 CHERRY AVENUE,,11355,1,0,1,"2,202","1,320",2006,1,A5,0,6/8/2022,40.7583803,-73.8119787
7242,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5424,36,,A1,43-11 166 STREET,,11358,1,0,1,"3,000","1,480",1950,1,A1,1090000,6/15/2022,40.7580806,-73.8002339
7254,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5433,51,,A1,149-21 HOLLYWOOD AVENUE,,11355,1,0,1,"3,000","1,380",1920,1,A1,0,6/13/2022,40.755141,-73.8116738
7279,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5452,32,,A1,149-30 46 AVENUE,,11355,1,0,1,"3,570","1,840",1930,1,A1,0,12/13/2022,40.7539816,-73.8110058
7281,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5454,4,,A1,46-67 PARSONS BOULEVARD,,11355,1,0,1,"4,734","1,798",1915,1,A1,1352000,6/22/2022,40.7524931,-73.8121902
7283,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5456,1,,A2,157-05 LABURNUM AVENUE,,11355,1,0,1,"3,923",931,1950,1,A2,880000,2/16/2022,40.7521237,-73.8095312
7285,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5457,69,,A1,158-15 LABURNUM AVENUE,,11358,1,0,1,"3,000","1,444",1930,1,A1,0,9/12/2022,40.7521024,-73.8082536
7288,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5458,50,,A2,46-50 160 STREET,,11358,1,0,1,"4,000","1,274",1955,1,A2,0,3/11/2022,40.7524904,-73.8072347
7297,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5495,39,,A1,157-17 QUINCE AVENUE,,11355,1,0,1,"8,000","3,488",1920,1,A1,1700000,2/4/2022,40.7497998,-73.8100396
7298,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5496,1,,A3,157-57 ROSE AVENUE,,11355,1,0,1,"16,300","3,158",1925,1,A3,1700000,4/28/2022,40.7499532,-73.8082382
7299,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5496,17,,A2,157-33 ROSE AVENUE,,11355,1,0,1,"3,999","1,483",1930,1,A2,1250000,1/18/2023,40.749581,-73.8088889
7300,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5496,30,,A1,157-05 ROSE AVENUE,,11355,1,0,1,"9,999","3,696",1940,1,A1,2100000,7/5/2022,40.7490828,-73.8097168
7302,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5510,79,,A1,43-43 AUBURNDALE LANE,,11358,1,0,1,"4,208","1,354",1940,1,A1,870000,9/12/2022,40.7564237,-73.794525
7305,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5512,4,,A1,44-09 UTOPIA PARKWAY,,11358,1,0,1,"3,000","1,392",1930,1,A1,960000,5/5/2022,40.755816,-73.7924009
7313,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5526,45,,A1,45-04 UTOPIA PARKWAY,,11358,1,0,1,"3,000","1,368",1925,1,A1,0,3/31/2022,40.7552737,-73.7930451
7321,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5532,42,,A0,189-41 46 ROAD,,11358,1,0,1,"3,999","1,205",1955,1,A0,980000,11/10/2022,40.7530363,-73.7897964
7350,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5568,40,,A0,164-20 LITHONIA AVENUE,,11365,1,0,1,"4,000",938,1950,1,A0,0,4/7/2022,40.7487981,-73.8019689
7351,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5570,57,,A0,164-59 UNDERHILL AVENUE,,11365,1,0,1,"3,999",945,1955,1,A0,900000,8/29/2022,40.7468807,-73.8010976
7352,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5571,8,,A0,49-43 167 STREET,,11365,1,0,1,"3,999",910,1949,1,A0,950000,7/19/2022,40.7476788,-73.8007126
7353,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5571,10,,A1,49-39 167 STREET,,11365,1,0,1,"3,999","1,971",1949,1,A1,0,10/28/2022,40.7477885,-73.8006979
7358,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5576,22,,A0,171-24 PIDGEON MEADOW ROAD,,11365,1,0,1,"3,999","1,188",1950,1,A0,0,10/27/2022,40.7478425,-73.7954682
7359,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5581,23,,A5,171-36 ASHBY AVENUE,,11358,1,0,1,"2,158","1,596",1930,1,A5,880000,3/29/2022,40.7524306,-73.7932957
7360,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5581,27,,A5,171-44 ASHBY AVENUE,,11358,1,0,1,"2,158","1,596",1930,1,A5,0,7/11/2022,40.752419,-73.7929782
7361,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5581,43,,A1,171-43 BAGLEY AVENUE,,11358,1,0,1,"3,000","1,610",1920,1,A1,875000,4/12/2022,40.7521418,-73.7929465
7362,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5581,46,,A1,171-37 BAGLEY AVENUE,,11358,1,0,1,"3,000","1,610",1920,1,A1,651000,1/20/2023,40.7521504,-73.7931595
7363,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5581,46,,A1,171-37 BAGLEY AVENUE,,11358,1,0,1,"3,000","1,610",1920,1,A1,702097,10/25/2022,40.7521504,-73.7931595
7364,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5583,26,,S1,171-28 COURTNEY AVENUE,,11358,1,1,2,"2,799","2,410",1940,1,S1,970000,12/12/2022,40.7510177,-73.7936502
7365,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5583,33,,A1,171-42 COURTNEY AVENUE,,11358,1,0,1,"2,800","1,800",1940,1,A1,960000,3/16/2022,40.7509976,-73.7931414
7367,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5585,52,,A0,173-37 EFFINGTON AVENUE,,11358,1,0,1,"3,999","1,151",1950,1,A0,920000,8/11/2022,40.7500096,-73.7932455
7368,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5586,19,,A1,173-26 EFFINGTON AVENUE,,11358,1,0,1,"4,000","1,826",1950,1,A1,980000,2/24/2022,40.7495905,-73.7937088
7369,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5586,25,,A1,173-38 EFFINGTON AVENUE,,11358,1,0,1,"4,000","1,817",1950,1,A1,1250000,2/28/2022,40.7495733,-73.793283
7370,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5587,9,,A0,173-08 FAIRCHILD AVENUE,,11358,1,0,1,"3,900","1,075",1940,1,A0,835000,10/27/2022,40.7489002,-73.7944724
7371,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5587,50,,A9,174-39 GLADWIN AVENUE,,11365,1,0,1,"3,999","1,045",1940,1,A9,888000,9/16/2022,40.748588,-73.7933474
7372,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5588,54,,A1,174-21 PIDGEON MEADOW ROAD,,11365,1,0,1,"3,800","1,714",1930,1,A1,0,6/17/2022,40.7478918,-73.7938873
7373,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5590,24,,A2,175-16 UNDERHILL AVENUE,,11365,1,0,1,"3,900",836,1940,1,A2,0,7/2/2022,40.7468906,-73.7942007
7377,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5594,23,,A1,50-07 175 STREET,,11365,1,0,1,"3,999","2,168",1950,1,A1,1425000,11/14/2022,40.7442502,-73.7942486
7380,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5595,30,,A0,50-04 UTOPIA PARKWAY,,11365,1,0,1,"4,158","1,990",1950,1,A0,550000,5/16/2022,40.7443494,-73.7929383
7381,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5595,40,,A0,50-24 UTOPIA PARKWAY,,11365,1,0,1,"4,000","1,182",1950,1,A0,998000,2/17/2022,40.7438005,-73.7929761
7415,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5652,30,,A2,196-07 WEEKS LANE,,11365,1,0,1,"4,143","1,040",1950,1,A2,940000,1/3/2023,40.7481481,-73.7825107
7416,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5654,11,,A5,50-25 184 STREET,,11365,1,0,1,"2,650",896,1940,1,A5,0,8/8/2022,40.743955,-73.7918821
7421,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5665,44,,A5,53-41 194 STREET,,11365,1,0,1,"1,800","1,633",1940,1,A5,0,2/17/2022,40.7460013,-73.7837628
7426,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5667,48,,A0,53-46 HOLLIS COURT BLVD,,11365,1,0,1,"3,999","1,398",1950,1,A0,990000,10/20/2022,40.746636,-73.7811839
7429,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5670,1,,A5,56-01 184 STREET,,11365,1,0,1,"3,000",896,1940,1,A5,900000,6/29/2022,40.7431528,-73.7915021
7484,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5766,52,,A1,166-55 24 AVENUE,,11357,1,0,1,"3,897","1,342",1940,1,A1,1200000,5/27/2022,40.7759194,-73.7959235
7493,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5965,55,,A5,28-20 UTOPIA PARKWAY,,11358,1,0,1,"2,000","1,504",1940,1,A5,825000,9/20/2022,40.7713077,-73.7925909
7496,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,6359,50,,A2,57-63 LAWRENCE STREET,,11355,1,0,1,"3,000","1,144",1920,1,A2,1150000,4/11/2022,40.7461217,-73.833003
7521,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,6414,47,,A5,146-13 58 ROAD,,11355,1,0,1,"2,199","1,650",1950,1,A5,998888,1/10/2023,40.7438896,-73.8216011
